starttime	seconds	ctime	dtime	ttime	wait
Thu May 12 00:57:21 2022	1652288241	0	493	493	481
Thu May 12 00:57:21 2022	1652288241	0	494	494	456
Thu May 12 00:57:21 2022	1652288241	1	493	494	460
Thu May 12 00:57:16 2022	1652288236	0	494	494	457
Thu May 12 00:57:14 2022	1652288234	1	493	494	459
Thu May 12 00:57:19 2022	1652288239	0	495	495	484
Thu May 12 00:57:23 2022	1652288243	0	495	495	489
Thu May 12 00:57:16 2022	1652288236	1	494	495	422
Thu May 12 00:57:17 2022	1652288237	0	495	495	306
Thu May 12 00:57:20 2022	1652288240	0	496	496	422
Thu May 12 00:57:16 2022	1652288236	0	496	496	477
Thu May 12 00:57:24 2022	1652288244	0	496	496	424
Thu May 12 00:57:16 2022	1652288236	0	496	496	288
Thu May 12 00:57:24 2022	1652288244	0	496	496	200
Thu May 12 00:57:20 2022	1652288240	0	496	496	487
Thu May 12 00:57:19 2022	1652288239	1	496	497	487
Thu May 12 00:57:20 2022	1652288240	0	497	497	489
Thu May 12 00:57:21 2022	1652288241	0	498	498	269
Thu May 12 00:57:22 2022	1652288242	0	498	498	473
Thu May 12 00:57:24 2022	1652288244	0	498	498	188
Thu May 12 00:57:14 2022	1652288234	0	498	498	432
Thu May 12 00:57:20 2022	1652288240	1	497	498	393
Thu May 12 00:57:14 2022	1652288234	0	498	498	487
Thu May 12 00:57:20 2022	1652288240	0	500	500	494
Thu May 12 00:57:17 2022	1652288237	0	500	500	313
Thu May 12 00:57:22 2022	1652288242	0	500	500	484
Thu May 12 00:57:19 2022	1652288239	1	500	501	338
Thu May 12 00:57:13 2022	1652288233	1	500	501	471
Thu May 12 00:57:15 2022	1652288235	1	500	501	468
Thu May 12 00:57:24 2022	1652288244	0	502	502	470
Thu May 12 00:57:16 2022	1652288236	0	503	503	244
Thu May 12 00:57:22 2022	1652288242	0	503	503	392
Thu May 12 00:57:17 2022	1652288237	1	502	503	315
Thu May 12 00:57:18 2022	1652288238	1	503	504	438
Thu May 12 00:57:22 2022	1652288242	0	504	504	383
Thu May 12 00:57:12 2022	1652288232	0	504	504	486
Thu May 12 00:57:12 2022	1652288232	0	504	504	481
Thu May 12 00:57:21 2022	1652288241	0	505	505	463
Thu May 12 00:57:22 2022	1652288242	1	504	505	409
Thu May 12 00:57:22 2022	1652288242	0	505	505	382
Thu May 12 00:57:22 2022	1652288242	0	505	505	495
Thu May 12 00:57:22 2022	1652288242	1	504	505	442
Thu May 12 00:57:22 2022	1652288242	0	506	506	429
Thu May 12 00:57:15 2022	1652288235	1	505	506	428
Thu May 12 00:57:22 2022	1652288242	1	506	506	484
Thu May 12 00:57:22 2022	1652288242	0	507	507	389
Thu May 12 00:57:14 2022	1652288234	0	507	507	490
Thu May 12 00:57:14 2022	1652288234	0	507	507	487
Thu May 12 00:57:14 2022	1652288234	0	508	508	422
Thu May 12 00:57:20 2022	1652288240	1	507	508	499
Thu May 12 00:57:20 2022	1652288240	0	509	509	504
Thu May 12 00:57:22 2022	1652288242	0	509	509	390
Thu May 12 00:57:12 2022	1652288232	1	508	509	482
Thu May 12 00:57:23 2022	1652288243	0	510	510	505
Thu May 12 00:57:23 2022	1652288243	0	511	511	299
Thu May 12 00:57:18 2022	1652288238	0	512	512	417
Thu May 12 00:57:14 2022	1652288234	0	512	512	507
Thu May 12 00:57:22 2022	1652288242	0	512	512	427
Thu May 12 00:57:22 2022	1652288242	1	511	512	476
Thu May 12 00:57:12 2022	1652288232	1	512	513	474
Thu May 12 00:57:22 2022	1652288242	0	513	513	438
Thu May 12 00:57:22 2022	1652288242	1	513	513	346
Thu May 12 00:57:21 2022	1652288241	0	513	513	466
Thu May 12 00:57:20 2022	1652288240	0	514	514	506
Thu May 12 00:57:22 2022	1652288242	1	513	514	420
Thu May 12 00:57:14 2022	1652288234	0	515	515	492
Thu May 12 00:57:22 2022	1652288242	0	515	515	446
Thu May 12 00:57:22 2022	1652288242	0	515	515	461
Thu May 12 00:57:21 2022	1652288241	0	515	515	496
Thu May 12 00:57:18 2022	1652288238	0	515	515	455
Thu May 12 00:57:21 2022	1652288241	1	514	515	475
Thu May 12 00:57:18 2022	1652288238	0	516	516	446
Thu May 12 00:57:18 2022	1652288238	0	516	516	451
Thu May 12 00:57:22 2022	1652288242	0	516	516	399
Thu May 12 00:57:20 2022	1652288240	0	517	517	442
Thu May 12 00:57:24 2022	1652288244	0	517	517	437
Thu May 12 00:57:22 2022	1652288242	0	519	519	420
Thu May 12 00:57:22 2022	1652288242	0	519	519	438
Thu May 12 00:57:22 2022	1652288242	0	519	519	433
Thu May 12 00:57:22 2022	1652288242	0	520	520	422
Thu May 12 00:57:19 2022	1652288239	1	519	520	473
Thu May 12 00:57:22 2022	1652288242	1	519	520	433
Thu May 12 00:57:22 2022	1652288242	0	520	520	422
Thu May 12 00:57:22 2022	1652288242	1	519	520	499
Thu May 12 00:57:16 2022	1652288236	1	520	521	427
Thu May 12 00:57:23 2022	1652288243	0	522	522	517
Thu May 12 00:57:14 2022	1652288234	0	522	522	488
Thu May 12 00:57:23 2022	1652288243	0	523	523	516
Thu May 12 00:57:21 2022	1652288241	0	524	524	516
Thu May 12 00:57:23 2022	1652288243	1	525	525	309
Thu May 12 00:57:22 2022	1652288242	0	525	525	513
Thu May 12 00:57:23 2022	1652288243	1	525	526	517
Thu May 12 00:57:20 2022	1652288240	1	525	526	518
Thu May 12 00:57:12 2022	1652288232	1	526	526	508
Thu May 12 00:57:23 2022	1652288243	0	527	527	522
Thu May 12 00:57:22 2022	1652288242	0	527	527	516
Thu May 12 00:57:24 2022	1652288244	0	529	529	361
Thu May 12 00:57:22 2022	1652288242	1	528	529	403
Thu May 12 00:57:24 2022	1652288244	1	531	531	463
Thu May 12 00:57:12 2022	1652288232	1	531	532	526
Thu May 12 00:57:15 2022	1652288235	0	532	532	507
Thu May 12 00:57:13 2022	1652288233	0	533	533	445
Thu May 12 00:57:21 2022	1652288241	1	532	533	312
Thu May 12 00:57:24 2022	1652288244	5	528	533	491
Thu May 12 00:57:13 2022	1652288233	0	534	534	452
Thu May 12 00:57:16 2022	1652288236	0	534	534	529
Thu May 12 00:57:22 2022	1652288242	0	534	534	460
Thu May 12 00:57:22 2022	1652288242	0	534	534	529
Thu May 12 00:57:14 2022	1652288234	0	535	535	452
Thu May 12 00:57:20 2022	1652288240	1	534	535	523
Thu May 12 00:57:18 2022	1652288238	0	535	535	430
Thu May 12 00:57:22 2022	1652288242	1	534	535	398
Thu May 12 00:57:22 2022	1652288242	0	535	535	376
Thu May 12 00:57:22 2022	1652288242	0	535	535	438
Thu May 12 00:57:17 2022	1652288237	1	537	538	364
Thu May 12 00:57:24 2022	1652288244	1	537	538	446
Thu May 12 00:57:24 2022	1652288244	0	538	538	412
Thu May 12 00:57:16 2022	1652288236	0	538	538	492
Thu May 12 00:57:14 2022	1652288234	0	538	538	448
Thu May 12 00:57:22 2022	1652288242	1	537	538	533
Thu May 12 00:57:20 2022	1652288240	0	539	539	523
Thu May 12 00:57:22 2022	1652288242	4	535	539	510
Thu May 12 00:57:19 2022	1652288239	0	540	540	520
Thu May 12 00:57:15 2022	1652288235	0	540	540	533
Thu May 12 00:57:20 2022	1652288240	0	540	540	534
Thu May 12 00:57:15 2022	1652288235	1	539	540	498
Thu May 12 00:57:20 2022	1652288240	0	540	540	531
Thu May 12 00:57:20 2022	1652288240	1	540	541	499
Thu May 12 00:57:22 2022	1652288242	0	541	541	478
Thu May 12 00:57:15 2022	1652288235	1	540	541	512
Thu May 12 00:57:19 2022	1652288239	0	542	542	459
Thu May 12 00:57:15 2022	1652288235	0	543	543	535
Thu May 12 00:57:14 2022	1652288234	0	543	543	509
Thu May 12 00:57:15 2022	1652288235	1	542	543	515
Thu May 12 00:57:24 2022	1652288244	1	542	543	531
Thu May 12 00:57:16 2022	1652288236	0	544	544	250
Thu May 12 00:57:14 2022	1652288234	1	543	544	504
Thu May 12 00:57:15 2022	1652288235	0	544	544	516
Thu May 12 00:57:15 2022	1652288235	0	544	544	506
Thu May 12 00:57:20 2022	1652288240	1	544	545	537
Thu May 12 00:57:24 2022	1652288244	0	545	545	505
Thu May 12 00:57:22 2022	1652288242	0	546	546	437
Thu May 12 00:57:15 2022	1652288235	0	546	546	526
Thu May 12 00:57:15 2022	1652288235	0	546	546	510
Thu May 12 00:57:12 2022	1652288232	1	546	547	482
Thu May 12 00:57:13 2022	1652288233	0	547	547	471
Thu May 12 00:57:23 2022	1652288243	0	548	548	543
Thu May 12 00:57:22 2022	1652288242	1	548	549	472
Thu May 12 00:57:13 2022	1652288233	0	550	550	477
Thu May 12 00:57:21 2022	1652288241	0	551	551	516
Thu May 12 00:57:15 2022	1652288235	1	552	553	547
Thu May 12 00:57:22 2022	1652288242	0	553	553	458
Thu May 12 00:57:19 2022	1652288239	1	552	553	422
Thu May 12 00:57:19 2022	1652288239	0	554	554	375
Thu May 12 00:57:24 2022	1652288244	0	555	555	254
Thu May 12 00:57:22 2022	1652288242	0	555	555	378
Thu May 12 00:57:22 2022	1652288242	0	555	556	379
Thu May 12 00:57:15 2022	1652288235	0	556	556	542
Thu May 12 00:57:24 2022	1652288244	0	556	556	487
Thu May 12 00:57:16 2022	1652288236	0	557	557	398
Thu May 12 00:57:17 2022	1652288237	0	557	557	548
Thu May 12 00:57:24 2022	1652288244	0	557	557	373
Thu May 12 00:57:20 2022	1652288240	1	556	557	494
Thu May 12 00:57:13 2022	1652288233	0	558	558	529
Thu May 12 00:57:16 2022	1652288236	0	558	558	507
Thu May 12 00:57:22 2022	1652288242	0	558	558	344
Thu May 12 00:57:22 2022	1652288242	0	558	558	372
Thu May 12 00:57:13 2022	1652288233	1	557	558	527
Thu May 12 00:57:15 2022	1652288235	0	559	559	548
Thu May 12 00:57:14 2022	1652288234	0	559	559	519
Thu May 12 00:57:22 2022	1652288242	1	558	559	347
Thu May 12 00:57:22 2022	1652288242	0	559	559	428
Thu May 12 00:57:14 2022	1652288234	0	559	559	542
Thu May 12 00:57:20 2022	1652288240	0	560	560	548
Thu May 12 00:57:22 2022	1652288242	0	560	560	426
Thu May 12 00:57:13 2022	1652288233	1	560	561	536
Thu May 12 00:57:19 2022	1652288239	1	560	561	347
Thu May 12 00:57:24 2022	1652288244	0	561	561	406
Thu May 12 00:57:24 2022	1652288244	1	561	562	434
Thu May 12 00:57:22 2022	1652288242	1	561	562	460
Thu May 12 00:57:17 2022	1652288237	0	562	562	530
Thu May 12 00:57:13 2022	1652288233	0	562	562	471
Thu May 12 00:57:16 2022	1652288236	1	562	563	529
Thu May 12 00:57:15 2022	1652288235	0	563	563	309
Thu May 12 00:57:23 2022	1652288243	0	564	564	556
Thu May 12 00:57:19 2022	1652288239	1	563	564	487
Thu May 12 00:57:24 2022	1652288244	0	565	565	482
Thu May 12 00:57:13 2022	1652288233	1	564	565	504
Thu May 12 00:57:13 2022	1652288233	0	565	565	524
Thu May 12 00:57:13 2022	1652288233	0	566	566	457
Thu May 12 00:57:16 2022	1652288236	0	566	566	539
Thu May 12 00:57:24 2022	1652288244	0	566	566	451
Thu May 12 00:57:14 2022	1652288234	0	567	567	536
Thu May 12 00:57:24 2022	1652288244	1	567	568	442
Thu May 12 00:57:20 2022	1652288240	0	568	568	562
Thu May 12 00:57:15 2022	1652288235	0	569	569	321
Thu May 12 00:57:22 2022	1652288242	1	568	569	524
Thu May 12 00:57:24 2022	1652288244	1	570	571	293
Thu May 12 00:57:23 2022	1652288243	0	571	571	530
Thu May 12 00:57:18 2022	1652288238	0	573	573	416
Thu May 12 00:57:18 2022	1652288238	1	572	573	375
Thu May 12 00:57:15 2022	1652288235	0	573	573	555
Thu May 12 00:57:18 2022	1652288238	1	573	574	374
Thu May 12 00:57:24 2022	1652288244	1	573	574	512
Thu May 12 00:57:14 2022	1652288234	0	574	574	513
Thu May 12 00:57:19 2022	1652288239	0	574	574	488
Thu May 12 00:57:15 2022	1652288235	0	576	576	567
Thu May 12 00:57:14 2022	1652288234	0	577	577	562
Thu May 12 00:57:14 2022	1652288234	2	575	577	553
Thu May 12 00:57:24 2022	1652288244	0	577	577	523
Thu May 12 00:57:12 2022	1652288232	0	578	578	547
Thu May 12 00:57:23 2022	1652288243	0	578	578	564
Thu May 12 00:57:15 2022	1652288235	0	579	579	379
Thu May 12 00:57:15 2022	1652288235	0	579	579	418
Thu May 12 00:57:15 2022	1652288235	0	579	579	387
Thu May 12 00:57:16 2022	1652288236	1	578	579	520
Thu May 12 00:57:15 2022	1652288235	0	579	579	331
Thu May 12 00:57:22 2022	1652288242	0	579	579	574
Thu May 12 00:57:24 2022	1652288244	0	579	579	573
Thu May 12 00:57:15 2022	1652288235	0	580	580	422
Thu May 12 00:57:19 2022	1652288239	0	580	580	411
Thu May 12 00:57:19 2022	1652288239	0	580	580	442
Thu May 12 00:57:19 2022	1652288239	0	580	580	451
Thu May 12 00:57:19 2022	1652288239	0	580	580	371
Thu May 12 00:57:17 2022	1652288237	0	581	581	577
Thu May 12 00:57:20 2022	1652288240	1	580	581	573
Thu May 12 00:57:13 2022	1652288233	0	581	581	517
Thu May 12 00:57:17 2022	1652288237	0	581	581	482
Thu May 12 00:57:19 2022	1652288239	0	581	581	437
Thu May 12 00:57:16 2022	1652288236	1	581	582	561
Thu May 12 00:57:24 2022	1652288244	0	582	582	431
Thu May 12 00:57:24 2022	1652288244	0	582	582	506
Thu May 12 00:57:23 2022	1652288243	0	582	582	566
Thu May 12 00:57:13 2022	1652288233	0	582	582	576
Thu May 12 00:57:15 2022	1652288235	0	583	583	498
Thu May 12 00:57:16 2022	1652288236	1	582	583	540
Thu May 12 00:57:18 2022	1652288238	0	583	583	397
Thu May 12 00:57:24 2022	1652288244	0	583	583	496
Thu May 12 00:57:16 2022	1652288236	0	584	584	547
Thu May 12 00:57:24 2022	1652288244	0	584	584	517
Thu May 12 00:57:24 2022	1652288244	0	584	584	518
Thu May 12 00:57:14 2022	1652288234	0	584	584	518
Thu May 12 00:57:18 2022	1652288238	0	584	584	377
Thu May 12 00:57:17 2022	1652288237	0	584	584	467
Thu May 12 00:57:24 2022	1652288244	0	584	584	438
Thu May 12 00:57:12 2022	1652288232	1	583	584	552
Thu May 12 00:57:24 2022	1652288244	0	585	585	517
Thu May 12 00:57:24 2022	1652288244	0	585	585	511
Thu May 12 00:57:17 2022	1652288237	0	585	585	470
Thu May 12 00:57:16 2022	1652288236	0	585	585	579
Thu May 12 00:57:19 2022	1652288239	0	585	585	549
Thu May 12 00:57:16 2022	1652288236	0	586	586	336
Thu May 12 00:57:22 2022	1652288242	0	586	586	576
Thu May 12 00:57:23 2022	1652288243	0	587	587	271
Thu May 12 00:57:19 2022	1652288239	0	587	587	510
Thu May 12 00:57:24 2022	1652288244	0	588	588	556
Thu May 12 00:57:15 2022	1652288235	0	588	588	577
Thu May 12 00:57:22 2022	1652288242	0	588	588	501
Thu May 12 00:57:22 2022	1652288242	1	587	588	525
Thu May 12 00:57:24 2022	1652288244	1	587	588	520
Thu May 12 00:57:23 2022	1652288243	0	588	588	576
Thu May 12 00:57:19 2022	1652288239	0	588	588	581
Thu May 12 00:57:24 2022	1652288244	0	588	588	535
Thu May 12 00:57:24 2022	1652288244	0	588	588	539
Thu May 12 00:57:13 2022	1652288233	0	588	588	516
Thu May 12 00:57:15 2022	1652288235	0	588	588	389
Thu May 12 00:57:22 2022	1652288242	0	589	589	488
Thu May 12 00:57:18 2022	1652288238	0	589	589	400
Thu May 12 00:57:16 2022	1652288236	1	588	589	547
Thu May 12 00:57:24 2022	1652288244	0	589	589	547
Thu May 12 00:57:13 2022	1652288233	0	589	589	478
Thu May 12 00:57:24 2022	1652288244	0	590	590	581
Thu May 12 00:57:24 2022	1652288244	0	590	590	557
Thu May 12 00:57:24 2022	1652288244	0	591	591	583
Thu May 12 00:57:16 2022	1652288236	0	591	591	281
Thu May 12 00:57:20 2022	1652288240	1	592	592	579
Thu May 12 00:57:22 2022	1652288242	0	593	593	584
Thu May 12 00:57:22 2022	1652288242	2	591	593	569
Thu May 12 00:57:24 2022	1652288244	0	593	593	591
Thu May 12 00:57:15 2022	1652288235	0	593	593	552
Thu May 12 00:57:20 2022	1652288240	0	594	594	410
Thu May 12 00:57:24 2022	1652288244	0	594	594	587
Thu May 12 00:57:15 2022	1652288235	1	593	594	546
Thu May 12 00:57:24 2022	1652288244	0	595	595	594
Thu May 12 00:57:13 2022	1652288233	0	595	595	495
Thu May 12 00:57:24 2022	1652288244	0	595	595	592
Thu May 12 00:57:24 2022	1652288244	0	595	595	340
Thu May 12 00:57:24 2022	1652288244	0	595	595	295
Thu May 12 00:57:16 2022	1652288236	1	595	596	577
Thu May 12 00:57:14 2022	1652288234	0	596	596	540
Thu May 12 00:57:22 2022	1652288242	1	595	596	535
Thu May 12 00:57:24 2022	1652288244	0	596	596	331
Thu May 12 00:57:14 2022	1652288234	0	597	597	586
Thu May 12 00:57:13 2022	1652288233	0	597	597	592
Thu May 12 00:57:24 2022	1652288244	1	596	597	326
Thu May 12 00:57:23 2022	1652288243	0	597	597	577
Thu May 12 00:57:12 2022	1652288232	1	597	598	585
Thu May 12 00:57:16 2022	1652288236	0	598	598	289
Thu May 12 00:57:14 2022	1652288234	0	599	599	555
Thu May 12 00:57:22 2022	1652288242	1	598	599	587
Thu May 12 00:57:20 2022	1652288240	1	598	599	417
Thu May 12 00:57:14 2022	1652288234	1	599	600	524
Thu May 12 00:57:22 2022	1652288242	0	600	600	555
Thu May 12 00:57:16 2022	1652288236	0	600	600	324
Thu May 12 00:57:24 2022	1652288244	1	600	601	436
Thu May 12 00:57:24 2022	1652288244	0	601	601	314
Thu May 12 00:57:14 2022	1652288234	1	601	602	571
Thu May 12 00:57:18 2022	1652288238	0	602	602	422
Thu May 12 00:57:13 2022	1652288233	1	601	602	487
Thu May 12 00:57:14 2022	1652288234	2	600	602	489
Thu May 12 00:57:12 2022	1652288232	0	602	602	579
Thu May 12 00:57:17 2022	1652288237	0	602	602	422
Thu May 12 00:57:22 2022	1652288242	0	602	602	577
Thu May 12 00:57:24 2022	1652288244	0	602	602	432
Thu May 12 00:57:13 2022	1652288233	0	602	602	504
Thu May 12 00:57:23 2022	1652288243	1	601	602	300
Thu May 12 00:57:18 2022	1652288238	0	603	603	462
Thu May 12 00:57:24 2022	1652288244	1	602	603	601
Thu May 12 00:57:24 2022	1652288244	0	603	603	542
Thu May 12 00:57:24 2022	1652288244	0	603	603	304
Thu May 12 00:57:15 2022	1652288235	0	604	604	398
Thu May 12 00:57:15 2022	1652288235	0	604	604	594
Thu May 12 00:57:22 2022	1652288242	0	604	604	569
Thu May 12 00:57:24 2022	1652288244	0	604	604	314
Thu May 12 00:57:24 2022	1652288244	0	604	604	315
Thu May 12 00:57:16 2022	1652288236	0	604	604	310
Thu May 12 00:57:18 2022	1652288238	1	604	605	562
Thu May 12 00:57:18 2022	1652288238	0	605	605	567
Thu May 12 00:57:13 2022	1652288233	0	605	605	569
Thu May 12 00:57:24 2022	1652288244	0	605	605	555
Thu May 12 00:57:13 2022	1652288233	0	605	605	472
Thu May 12 00:57:24 2022	1652288244	0	605	605	388
Thu May 12 00:57:24 2022	1652288244	0	605	605	317
Thu May 12 00:57:13 2022	1652288233	0	606	606	560
Thu May 12 00:57:14 2022	1652288234	0	606	606	355
Thu May 12 00:57:13 2022	1652288233	0	607	607	539
Thu May 12 00:57:18 2022	1652288238	0	607	607	457
Thu May 12 00:57:14 2022	1652288234	0	607	607	579
Thu May 12 00:57:18 2022	1652288238	0	607	607	553
Thu May 12 00:57:18 2022	1652288238	1	606	607	525
Thu May 12 00:57:18 2022	1652288238	0	607	607	575
Thu May 12 00:57:13 2022	1652288233	0	608	608	570
Thu May 12 00:57:16 2022	1652288236	0	608	608	432
Thu May 12 00:57:12 2022	1652288232	0	608	608	582
Thu May 12 00:57:12 2022	1652288232	1	607	608	552
Thu May 12 00:57:18 2022	1652288238	0	609	609	527
Thu May 12 00:57:18 2022	1652288238	0	609	609	510
Thu May 12 00:57:24 2022	1652288244	1	608	609	601
Thu May 12 00:57:16 2022	1652288236	0	609	609	367
Thu May 12 00:57:18 2022	1652288238	0	610	610	583
Thu May 12 00:57:15 2022	1652288235	0	610	610	567
Thu May 12 00:57:18 2022	1652288238	0	610	610	407
Thu May 12 00:57:24 2022	1652288244	0	610	610	562
Thu May 12 00:57:24 2022	1652288244	0	610	610	573
Thu May 12 00:57:22 2022	1652288242	1	610	611	548
Thu May 12 00:57:22 2022	1652288242	0	611	611	505
Thu May 12 00:57:12 2022	1652288232	0	612	612	566
Thu May 12 00:57:18 2022	1652288238	0	612	612	530
Thu May 12 00:57:24 2022	1652288244	0	612	612	292
Thu May 12 00:57:12 2022	1652288232	1	612	612	570
Thu May 12 00:57:14 2022	1652288234	0	613	613	558
Thu May 12 00:57:22 2022	1652288242	0	614	614	514
Thu May 12 00:57:18 2022	1652288238	0	614	614	582
Thu May 12 00:57:24 2022	1652288244	0	614	614	601
Thu May 12 00:57:13 2022	1652288233	1	614	615	588
Thu May 12 00:57:15 2022	1652288235	0	615	615	598
Thu May 12 00:57:24 2022	1652288244	0	615	615	608
Thu May 12 00:57:14 2022	1652288234	1	614	615	560
Thu May 12 00:57:13 2022	1652288233	1	615	616	513
Thu May 12 00:57:14 2022	1652288234	0	616	616	608
Thu May 12 00:57:14 2022	1652288234	0	616	616	546
Thu May 12 00:57:15 2022	1652288235	0	616	616	595
Thu May 12 00:57:18 2022	1652288238	0	616	616	471
Thu May 12 00:57:22 2022	1652288242	0	616	616	514
Thu May 12 00:57:18 2022	1652288238	0	616	616	535
Thu May 12 00:57:18 2022	1652288238	0	616	616	530
Thu May 12 00:57:17 2022	1652288237	1	615	616	459
Thu May 12 00:57:21 2022	1652288241	1	616	617	333
Thu May 12 00:57:13 2022	1652288233	0	617	617	586
Thu May 12 00:57:20 2022	1652288240	1	616	617	544
Thu May 12 00:57:13 2022	1652288233	0	618	618	501
Thu May 12 00:57:14 2022	1652288234	0	618	618	582
Thu May 12 00:57:20 2022	1652288240	0	619	619	457
Thu May 12 00:57:24 2022	1652288244	0	619	619	391
Thu May 12 00:57:24 2022	1652288244	0	619	619	618
Thu May 12 00:57:17 2022	1652288237	0	619	619	369
Thu May 12 00:57:15 2022	1652288235	1	619	620	427
Thu May 12 00:57:16 2022	1652288236	0	620	620	604
Thu May 12 00:57:22 2022	1652288242	0	620	620	612
Thu May 12 00:57:13 2022	1652288233	0	621	621	511
Thu May 12 00:57:23 2022	1652288243	0	621	621	605
Thu May 12 00:57:22 2022	1652288242	1	622	623	560
Thu May 12 00:57:18 2022	1652288238	0	623	623	600
Thu May 12 00:57:22 2022	1652288242	1	623	623	561
Thu May 12 00:57:23 2022	1652288243	1	623	624	319
Thu May 12 00:57:20 2022	1652288240	1	624	624	512
Thu May 12 00:57:16 2022	1652288236	0	625	625	585
Thu May 12 00:57:22 2022	1652288242	0	625	625	606
Thu May 12 00:57:13 2022	1652288233	0	626	626	600
Thu May 12 00:57:22 2022	1652288242	0	626	626	524
Thu May 12 00:57:21 2022	1652288241	0	626	626	587
Thu May 12 00:57:21 2022	1652288241	0	626	626	588
Thu May 12 00:57:13 2022	1652288233	0	626	626	544
Thu May 12 00:57:18 2022	1652288238	0	626	626	487
Thu May 12 00:57:22 2022	1652288242	0	627	627	616
Thu May 12 00:57:18 2022	1652288238	0	627	627	535
Thu May 12 00:57:21 2022	1652288241	0	627	627	558
Thu May 12 00:57:13 2022	1652288233	0	628	628	546
Thu May 12 00:57:16 2022	1652288236	0	628	628	599
Thu May 12 00:57:24 2022	1652288244	0	630	630	305
Thu May 12 00:57:24 2022	1652288244	0	630	630	294
Thu May 12 00:57:15 2022	1652288235	0	630	630	613
Thu May 12 00:57:15 2022	1652288235	0	631	631	619
Thu May 12 00:57:22 2022	1652288242	0	631	631	619
Thu May 12 00:57:12 2022	1652288232	0	631	631	587
Thu May 12 00:57:22 2022	1652288242	1	630	631	603
Thu May 12 00:57:13 2022	1652288233	0	631	631	534
Thu May 12 00:57:13 2022	1652288233	0	631	631	553
Thu May 12 00:57:22 2022	1652288242	0	631	631	614
Thu May 12 00:57:14 2022	1652288234	0	633	633	570
Thu May 12 00:57:24 2022	1652288244	0	634	634	414
Thu May 12 00:57:12 2022	1652288232	0	634	634	602
Thu May 12 00:57:15 2022	1652288235	0	634	634	611
Thu May 12 00:57:18 2022	1652288238	0	634	634	554
Thu May 12 00:57:18 2022	1652288238	0	634	634	547
Thu May 12 00:57:18 2022	1652288238	0	634	634	553
Thu May 12 00:57:18 2022	1652288238	0	634	634	442
Thu May 12 00:57:13 2022	1652288233	1	634	635	556
Thu May 12 00:57:16 2022	1652288236	0	635	635	341
Thu May 12 00:57:15 2022	1652288235	1	636	637	382
Thu May 12 00:57:15 2022	1652288235	1	636	637	380
Thu May 12 00:57:16 2022	1652288236	1	637	637	530
Thu May 12 00:57:18 2022	1652288238	1	636	637	409
Thu May 12 00:57:13 2022	1652288233	0	638	638	551
Thu May 12 00:57:18 2022	1652288238	0	638	638	410
Thu May 12 00:57:23 2022	1652288243	0	639	639	631
Thu May 12 00:57:22 2022	1652288242	0	639	639	628
Thu May 12 00:57:18 2022	1652288238	1	638	639	568
Thu May 12 00:57:17 2022	1652288237	0	640	640	453
Thu May 12 00:57:12 2022	1652288232	1	640	641	585
Thu May 12 00:57:22 2022	1652288242	0	642	642	629
Thu May 12 00:57:21 2022	1652288241	0	642	642	409
Thu May 12 00:57:23 2022	1652288243	0	643	643	612
Thu May 12 00:57:22 2022	1652288242	0	643	643	630
Thu May 12 00:57:15 2022	1652288235	0	643	643	633
Thu May 12 00:57:18 2022	1652288238	0	643	643	461
Thu May 12 00:57:13 2022	1652288233	1	644	645	548
Thu May 12 00:57:13 2022	1652288233	1	644	645	560
Thu May 12 00:57:22 2022	1652288242	0	646	646	635
Thu May 12 00:57:19 2022	1652288239	0	646	646	438
Thu May 12 00:57:19 2022	1652288239	1	645	646	417
Thu May 12 00:57:13 2022	1652288233	0	647	647	570
Thu May 12 00:57:17 2022	1652288237	0	647	647	642
Thu May 12 00:57:17 2022	1652288237	0	647	647	463
Thu May 12 00:57:16 2022	1652288236	0	648	648	342
Thu May 12 00:57:12 2022	1652288232	0	649	649	632
Thu May 12 00:57:22 2022	1652288242	0	649	649	641
Thu May 12 00:57:16 2022	1652288236	1	648	649	357
Thu May 12 00:57:20 2022	1652288240	0	650	650	643
Thu May 12 00:57:16 2022	1652288236	2	648	650	406
Thu May 12 00:57:17 2022	1652288237	1	650	650	459
Thu May 12 00:57:18 2022	1652288238	0	651	651	509
Thu May 12 00:57:23 2022	1652288243	0	652	652	630
Thu May 12 00:57:14 2022	1652288234	0	652	652	594
Thu May 12 00:57:20 2022	1652288240	1	651	652	639
Thu May 12 00:57:20 2022	1652288240	0	653	653	598
Thu May 12 00:57:13 2022	1652288233	0	653	653	545
Thu May 12 00:57:23 2022	1652288243	0	654	654	608
Thu May 12 00:57:16 2022	1652288236	1	653	654	412
Thu May 12 00:57:23 2022	1652288243	1	654	655	336
Thu May 12 00:57:17 2022	1652288237	0	656	656	457
Thu May 12 00:57:22 2022	1652288242	4	652	656	639
Thu May 12 00:57:17 2022	1652288237	0	656	656	643
Thu May 12 00:57:18 2022	1652288238	0	657	657	579
Thu May 12 00:57:24 2022	1652288244	0	657	657	267
Thu May 12 00:57:24 2022	1652288244	1	657	658	282
Thu May 12 00:57:20 2022	1652288240	0	658	658	591
Thu May 12 00:57:16 2022	1652288236	1	657	658	370
Thu May 12 00:57:18 2022	1652288238	0	659	659	460
Thu May 12 00:57:22 2022	1652288242	0	660	660	572
Thu May 12 00:57:23 2022	1652288243	1	659	660	643
