starttime	seconds	ctime	dtime	ttime	wait
Thu May 12 00:57:18 2022	1652288238	0	378	378	175
Thu May 12 00:57:24 2022	1652288244	1	377	378	372
Thu May 12 00:57:24 2022	1652288244	2	377	379	358
Thu May 12 00:57:12 2022	1652288232	0	379	379	371
Thu May 12 00:57:15 2022	1652288235	0	380	380	372
Thu May 12 00:57:21 2022	1652288241	0	381	381	372
Thu May 12 00:57:15 2022	1652288235	0	382	382	377
Thu May 12 00:57:22 2022	1652288242	0	382	382	341
Thu May 12 00:57:22 2022	1652288242	0	382	382	359
Thu May 12 00:57:21 2022	1652288241	0	382	382	179
Thu May 12 00:57:14 2022	1652288234	0	383	383	265
Thu May 12 00:57:21 2022	1652288241	1	382	383	163
Thu May 12 00:57:22 2022	1652288242	1	382	383	341
Thu May 12 00:57:19 2022	1652288239	0	383	383	350
Thu May 12 00:57:24 2022	1652288244	1	382	383	186
Thu May 12 00:57:12 2022	1652288232	0	385	385	373
Thu May 12 00:57:21 2022	1652288241	0	385	385	161
Thu May 12 00:57:15 2022	1652288235	0	385	385	381
Thu May 12 00:57:21 2022	1652288241	0	385	385	168
Thu May 12 00:57:15 2022	1652288235	0	386	386	379
Thu May 12 00:57:18 2022	1652288238	0	385	386	379
Thu May 12 00:57:14 2022	1652288234	5	382	387	285
Thu May 12 00:57:21 2022	1652288241	1	386	387	167
Thu May 12 00:57:12 2022	1652288232	0	387	387	375
Thu May 12 00:57:18 2022	1652288238	1	387	388	247
Thu May 12 00:57:22 2022	1652288242	1	387	388	373
Thu May 12 00:57:18 2022	1652288238	0	389	389	247
Thu May 12 00:57:15 2022	1652288235	0	390	390	368
Thu May 12 00:57:18 2022	1652288238	1	389	390	370
Thu May 12 00:57:18 2022	1652288238	0	390	390	277
Thu May 12 00:57:18 2022	1652288238	0	390	390	294
Thu May 12 00:57:18 2022	1652288238	0	390	390	270
Thu May 12 00:57:22 2022	1652288242	0	390	390	343
Thu May 12 00:57:18 2022	1652288238	0	390	390	275
Thu May 12 00:57:12 2022	1652288232	0	391	391	381
Thu May 12 00:57:12 2022	1652288232	0	395	395	383
Thu May 12 00:57:15 2022	1652288235	0	397	397	376
Thu May 12 00:57:14 2022	1652288234	0	398	398	372
Thu May 12 00:57:14 2022	1652288234	0	398	398	370
Thu May 12 00:57:23 2022	1652288243	0	398	398	390
Thu May 12 00:57:14 2022	1652288234	0	399	399	376
Thu May 12 00:57:24 2022	1652288244	0	399	399	395
Thu May 12 00:57:14 2022	1652288234	0	400	400	394
Thu May 12 00:57:24 2022	1652288244	0	401	401	383
Thu May 12 00:57:14 2022	1652288234	0	401	401	393
Thu May 12 00:57:24 2022	1652288244	1	400	401	381
Thu May 12 00:57:12 2022	1652288232	0	402	402	392
Thu May 12 00:57:22 2022	1652288242	6	396	402	371
Thu May 12 00:57:24 2022	1652288244	0	402	402	331
Thu May 12 00:57:13 2022	1652288233	3	399	402	363
Thu May 12 00:57:21 2022	1652288241	1	402	403	359
Thu May 12 00:57:24 2022	1652288244	0	403	403	376
Thu May 12 00:57:14 2022	1652288234	1	402	403	384
Thu May 12 00:57:14 2022	1652288234	0	403	403	386
Thu May 12 00:57:16 2022	1652288236	0	404	404	381
Thu May 12 00:57:12 2022	1652288232	0	404	404	393
Thu May 12 00:57:21 2022	1652288241	0	404	404	272
Thu May 12 00:57:21 2022	1652288241	1	403	405	383
Thu May 12 00:57:14 2022	1652288234	0	405	405	326
Thu May 12 00:57:22 2022	1652288242	1	404	405	370
Thu May 12 00:57:21 2022	1652288241	0	407	407	335
Thu May 12 00:57:14 2022	1652288234	1	406	407	392
Thu May 12 00:57:23 2022	1652288243	1	407	408	376
Thu May 12 00:57:15 2022	1652288235	0	408	408	126
Thu May 12 00:57:12 2022	1652288232	0	408	408	386
Thu May 12 00:57:15 2022	1652288235	0	409	409	399
Thu May 12 00:57:14 2022	1652288234	0	409	409	402
Thu May 12 00:57:14 2022	1652288234	0	409	409	403
Thu May 12 00:57:18 2022	1652288238	0	409	409	205
Thu May 12 00:57:24 2022	1652288244	0	410	410	214
Thu May 12 00:57:24 2022	1652288244	0	410	410	222
Thu May 12 00:57:20 2022	1652288240	0	411	411	387
Thu May 12 00:57:12 2022	1652288232	0	413	413	403
Thu May 12 00:57:21 2022	1652288241	0	413	413	207
Thu May 12 00:57:19 2022	1652288239	1	413	414	392
Thu May 12 00:57:19 2022	1652288239	0	414	414	376
Thu May 12 00:57:23 2022	1652288243	0	414	414	385
Thu May 12 00:57:15 2022	1652288235	0	414	414	159
Thu May 12 00:57:20 2022	1652288240	0	414	414	377
Thu May 12 00:57:20 2022	1652288240	1	414	415	400
Thu May 12 00:57:24 2022	1652288244	0	415	415	398
Thu May 12 00:57:17 2022	1652288237	0	415	415	393
Thu May 12 00:57:23 2022	1652288243	0	415	415	375
Thu May 12 00:57:12 2022	1652288232	0	416	416	402
Thu May 12 00:57:20 2022	1652288240	1	416	417	386
Thu May 12 00:57:15 2022	1652288235	0	417	417	398
Thu May 12 00:57:24 2022	1652288244	0	417	417	348
Thu May 12 00:57:18 2022	1652288238	0	419	419	217
Thu May 12 00:57:23 2022	1652288243	1	418	419	341
Thu May 12 00:57:20 2022	1652288240	0	420	420	279
Thu May 12 00:57:20 2022	1652288240	0	420	420	407
Thu May 12 00:57:21 2022	1652288241	0	420	420	287
Thu May 12 00:57:14 2022	1652288234	0	422	422	413
Thu May 12 00:57:23 2022	1652288243	1	422	423	416
Thu May 12 00:57:20 2022	1652288240	0	423	423	416
Thu May 12 00:57:14 2022	1652288234	0	423	423	406
Thu May 12 00:57:13 2022	1652288233	0	424	424	326
Thu May 12 00:57:15 2022	1652288235	0	424	424	417
Thu May 12 00:57:20 2022	1652288240	0	425	425	419
Thu May 12 00:57:16 2022	1652288236	0	425	425	288
Thu May 12 00:57:15 2022	1652288235	1	425	426	172
Thu May 12 00:57:23 2022	1652288243	1	425	426	402
Thu May 12 00:57:24 2022	1652288244	0	427	427	285
Thu May 12 00:57:21 2022	1652288241	0	427	427	412
Thu May 12 00:57:16 2022	1652288236	0	428	428	246
Thu May 12 00:57:18 2022	1652288238	1	427	428	417
Thu May 12 00:57:22 2022	1652288242	1	428	429	395
Thu May 12 00:57:19 2022	1652288239	0	429	429	404
Thu May 12 00:57:18 2022	1652288238	0	429	429	403
Thu May 12 00:57:14 2022	1652288234	0	430	430	404
Thu May 12 00:57:20 2022	1652288240	1	430	431	363
Thu May 12 00:57:15 2022	1652288235	0	431	431	178
Thu May 12 00:57:20 2022	1652288240	0	431	431	361
Thu May 12 00:57:18 2022	1652288238	0	432	432	427
Thu May 12 00:57:16 2022	1652288236	0	432	432	421
Thu May 12 00:57:22 2022	1652288242	0	432	432	386
Thu May 12 00:57:19 2022	1652288239	0	432	432	427
Thu May 12 00:57:20 2022	1652288240	1	432	433	372
Thu May 12 00:57:20 2022	1652288240	0	433	433	374
Thu May 12 00:57:20 2022	1652288240	0	433	433	414
Thu May 12 00:57:19 2022	1652288239	1	432	433	403
Thu May 12 00:57:15 2022	1652288235	0	434	434	176
Thu May 12 00:57:14 2022	1652288234	1	433	434	418
Thu May 12 00:57:12 2022	1652288232	0	434	434	419
Thu May 12 00:57:12 2022	1652288232	0	434	434	412
Thu May 12 00:57:21 2022	1652288241	0	435	435	357
Thu May 12 00:57:19 2022	1652288239	0	436	436	425
Thu May 12 00:57:24 2022	1652288244	0	437	437	409
Thu May 12 00:57:20 2022	1652288240	0	437	437	370
Thu May 12 00:57:14 2022	1652288234	1	436	437	397
Thu May 12 00:57:19 2022	1652288239	0	438	438	430
Thu May 12 00:57:19 2022	1652288239	0	438	438	254
Thu May 12 00:57:15 2022	1652288235	0	439	439	188
Thu May 12 00:57:13 2022	1652288233	1	438	439	342
Thu May 12 00:57:15 2022	1652288235	0	439	439	420
Thu May 12 00:57:14 2022	1652288234	0	439	439	434
Thu May 12 00:57:18 2022	1652288238	0	439	439	346
Thu May 12 00:57:21 2022	1652288241	0	439	439	428
Thu May 12 00:57:15 2022	1652288235	1	439	440	423
Thu May 12 00:57:19 2022	1652288239	3	438	441	430
Thu May 12 00:57:21 2022	1652288241	0	441	441	428
Thu May 12 00:57:18 2022	1652288238	0	442	442	249
Thu May 12 00:57:18 2022	1652288238	0	442	442	408
Thu May 12 00:57:16 2022	1652288236	0	442	442	232
Thu May 12 00:57:21 2022	1652288241	0	443	443	432
Thu May 12 00:57:23 2022	1652288243	0	443	443	403
Thu May 12 00:57:22 2022	1652288242	0	443	443	323
Thu May 12 00:57:20 2022	1652288240	0	444	444	426
Thu May 12 00:57:24 2022	1652288244	0	444	444	409
Thu May 12 00:57:18 2022	1652288238	0	444	444	411
Thu May 12 00:57:15 2022	1652288235	0	445	445	411
Thu May 12 00:57:22 2022	1652288242	1	445	445	400
Thu May 12 00:57:17 2022	1652288237	0	446	446	258
Thu May 12 00:57:20 2022	1652288240	0	446	446	382
Thu May 12 00:57:21 2022	1652288241	0	447	447	391
Thu May 12 00:57:15 2022	1652288235	0	447	447	194
Thu May 12 00:57:24 2022	1652288244	0	447	447	387
Thu May 12 00:57:22 2022	1652288242	0	447	447	429
Thu May 12 00:57:21 2022	1652288241	1	446	447	415
Thu May 12 00:57:19 2022	1652288239	0	448	448	304
Thu May 12 00:57:19 2022	1652288239	0	448	448	308
Thu May 12 00:57:19 2022	1652288239	0	448	448	352
Thu May 12 00:57:19 2022	1652288239	0	448	448	272
Thu May 12 00:57:19 2022	1652288239	1	448	449	422
Thu May 12 00:57:20 2022	1652288240	0	449	449	396
Thu May 12 00:57:21 2022	1652288241	0	449	449	440
Thu May 12 00:57:14 2022	1652288234	0	450	450	415
Thu May 12 00:57:19 2022	1652288239	0	450	450	227
Thu May 12 00:57:22 2022	1652288242	1	449	450	424
Thu May 12 00:57:21 2022	1652288241	0	450	450	331
Thu May 12 00:57:14 2022	1652288234	1	450	451	369
Thu May 12 00:57:18 2022	1652288238	0	451	451	334
Thu May 12 00:57:12 2022	1652288232	0	452	452	428
Thu May 12 00:57:12 2022	1652288232	0	452	452	439
Thu May 12 00:57:15 2022	1652288235	0	452	452	204
Thu May 12 00:57:20 2022	1652288240	0	452	452	427
Thu May 12 00:57:18 2022	1652288238	0	453	453	296
Thu May 12 00:57:18 2022	1652288238	0	453	453	441
Thu May 12 00:57:20 2022	1652288240	0	453	453	389
Thu May 12 00:57:15 2022	1652288235	0	454	454	200
Thu May 12 00:57:21 2022	1652288241	0	454	454	442
Thu May 12 00:57:14 2022	1652288234	0	454	454	329
Thu May 12 00:57:20 2022	1652288240	0	454	454	426
Thu May 12 00:57:21 2022	1652288241	0	455	455	444
Thu May 12 00:57:20 2022	1652288240	0	455	455	446
Thu May 12 00:57:21 2022	1652288241	0	456	456	411
Thu May 12 00:57:24 2022	1652288244	1	455	456	375
Thu May 12 00:57:19 2022	1652288239	0	456	456	276
Thu May 12 00:57:15 2022	1652288235	0	457	457	416
Thu May 12 00:57:20 2022	1652288240	0	457	457	422
Thu May 12 00:57:15 2022	1652288235	1	457	458	227
Thu May 12 00:57:15 2022	1652288235	0	458	458	301
Thu May 12 00:57:20 2022	1652288240	0	458	458	448
Thu May 12 00:57:20 2022	1652288240	0	460	460	456
Thu May 12 00:57:20 2022	1652288240	0	460	460	451
Thu May 12 00:57:14 2022	1652288234	0	461	461	414
Thu May 12 00:57:16 2022	1652288236	1	461	462	341
Thu May 12 00:57:23 2022	1652288243	0	462	462	444
Thu May 12 00:57:21 2022	1652288241	0	462	462	353
Thu May 12 00:57:21 2022	1652288241	0	463	463	405
Thu May 12 00:57:17 2022	1652288237	1	462	463	441
Thu May 12 00:57:12 2022	1652288232	0	463	463	444
Thu May 12 00:57:22 2022	1652288242	0	463	463	453
Thu May 12 00:57:12 2022	1652288232	1	463	464	445
Thu May 12 00:57:15 2022	1652288235	0	464	464	273
Thu May 12 00:57:18 2022	1652288238	0	464	464	277
Thu May 12 00:57:14 2022	1652288234	0	464	464	458
Thu May 12 00:57:15 2022	1652288235	1	464	464	284
Thu May 12 00:57:15 2022	1652288235	0	464	464	214
Thu May 12 00:57:15 2022	1652288235	0	464	464	351
Thu May 12 00:57:21 2022	1652288241	0	465	465	432
Thu May 12 00:57:15 2022	1652288235	1	464	465	296
Thu May 12 00:57:14 2022	1652288234	0	465	465	447
Thu May 12 00:57:17 2022	1652288237	0	466	466	446
Thu May 12 00:57:21 2022	1652288241	0	466	466	227
Thu May 12 00:57:20 2022	1652288240	1	466	467	364
Thu May 12 00:57:14 2022	1652288234	0	467	467	404
Thu May 12 00:57:21 2022	1652288241	1	466	467	403
Thu May 12 00:57:21 2022	1652288241	1	466	467	250
Thu May 12 00:57:24 2022	1652288244	0	467	467	437
Thu May 12 00:57:24 2022	1652288244	0	467	467	436
Thu May 12 00:57:21 2022	1652288241	1	467	468	426
Thu May 12 00:57:17 2022	1652288237	0	468	468	273
Thu May 12 00:57:20 2022	1652288240	0	468	468	462
Thu May 12 00:57:19 2022	1652288239	1	467	468	454
Thu May 12 00:57:19 2022	1652288239	0	468	468	449
Thu May 12 00:57:14 2022	1652288234	1	468	468	356
Thu May 12 00:57:24 2022	1652288244	0	468	468	397
Thu May 12 00:57:21 2022	1652288241	0	469	469	260
Thu May 12 00:57:22 2022	1652288242	1	468	469	348
Thu May 12 00:57:21 2022	1652288241	0	469	469	227
Thu May 12 00:57:19 2022	1652288239	0	470	470	298
Thu May 12 00:57:19 2022	1652288239	1	469	470	420
Thu May 12 00:57:14 2022	1652288234	0	470	470	348
Thu May 12 00:57:24 2022	1652288244	0	470	470	324
Thu May 12 00:57:13 2022	1652288233	0	470	470	413
Thu May 12 00:57:14 2022	1652288234	0	471	471	329
Thu May 12 00:57:14 2022	1652288234	0	471	471	334
Thu May 12 00:57:20 2022	1652288240	0	472	472	451
Thu May 12 00:57:22 2022	1652288242	0	472	472	456
Thu May 12 00:57:22 2022	1652288242	0	472	472	453
Thu May 12 00:57:14 2022	1652288234	0	473	473	416
Thu May 12 00:57:19 2022	1652288239	0	474	474	333
Thu May 12 00:57:22 2022	1652288242	0	474	474	431
Thu May 12 00:57:16 2022	1652288236	0	474	474	407
Thu May 12 00:57:22 2022	1652288242	0	474	474	466
Thu May 12 00:57:19 2022	1652288239	0	475	475	443
Thu May 12 00:57:19 2022	1652288239	0	475	475	402
Thu May 12 00:57:19 2022	1652288239	0	475	475	348
Thu May 12 00:57:16 2022	1652288236	1	474	475	405
Thu May 12 00:57:14 2022	1652288234	0	475	475	363
Thu May 12 00:57:23 2022	1652288243	0	475	475	469
Thu May 12 00:57:19 2022	1652288239	1	475	475	466
Thu May 12 00:57:14 2022	1652288234	0	475	475	437
Thu May 12 00:57:13 2022	1652288233	0	476	476	380
Thu May 12 00:57:16 2022	1652288236	0	476	476	436
Thu May 12 00:57:14 2022	1652288234	0	476	476	378
Thu May 12 00:57:18 2022	1652288238	0	476	476	320
